timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729258024,968,Register Random User,200,,Stress Test  1-100,text,true,,390,677,1,1,http://localhost:8081/api/users/,946,0,196
1697729259007,1146,Login,200,,Stress Test  1-100,text,true,,28508,1150,2,3,http://localhost:8081/,375,0,0
1697729259007,375,Login-0,302,,Stress Test  1-100,,true,,412,710,2,3,http://localhost:8081/authenticate,375,0,0
1697729259394,759,Login-1,200,,Stress Test  1-100,text,true,,28096,440,2,3,http://localhost:8081/,753,0,0
1697729259452,698,Register Random User,409,,Stress Test  1-99,text,false,Status code should be 200,689,677,2,3,http://localhost:8081/api/users/,697,0,2
1697729259580,613,Register Random User,409,,Load Test  2-20,text,false,Status code should be 200,689,677,1,3,http://localhost:8081/api/users/,613,0,3
1697729260313,690,Register Random User,409,,Spike Test  4-10,text,false,Status code should be 200,689,677,1,4,http://localhost:8081/api/users/,690,0,4
1697729260160,875,Create Post,200,,Stress Test  1-100,text,true,,561,581,2,4,http://localhost:8081/api/post/auth/creator,875,0,0
1697729260195,1052,Login,200,,Load Test  2-20,text,true,,28508,1154,1,5,http://localhost:8081/,436,0,0
1697729260195,436,Login-0,302,,Load Test  2-20,,true,,412,714,1,5,http://localhost:8081/authenticate,436,0,0
1697729260632,615,Login-1,200,,Load Test  2-20,text,true,,28096,440,1,5,http://localhost:8081/,612,0,0
1697729260163,1099,Login,200,,Stress Test  1-99,text,true,,28508,1170,3,5,http://localhost:8081/,482,0,0
1697729260163,482,Login-0,302,,Stress Test  1-99,,true,,412,730,3,5,http://localhost:8081/authenticate,482,0,0
1697729260646,616,Login-1,200,,Stress Test  1-99,text,true,,28096,440,3,5,http://localhost:8081/,613,0,0
1697729261248,494,Register Random User,409,,Stress Test  1-98,text,false,Status code should be 200,689,677,3,6,http://localhost:8081/api/users/,494,0,3
1697729261005,845,Login,200,,Spike Test  4-10,text,true,,28508,1178,1,6,http://localhost:8081/,317,0,0
1697729261005,317,Login-0,302,,Spike Test  4-10,,true,,412,738,1,6,http://localhost:8081/authenticate,317,0,0
1697729261323,527,Login-1,200,,Spike Test  4-10,text,true,,28096,440,1,6,http://localhost:8081/,523,0,0
1697729261160,774,Delete Post,200,,Stress Test  1-100,,true,,303,603,3,6,http://localhost:8081/api/post/auth/manager?postId=1443,774,0,0
1697729261576,471,Register Random User,409,,Load Test  2-19,text,false,Status code should be 200,689,677,2,6,http://localhost:8081/api/users/,471,0,2
1697729261250,952,Create Post,500,,Load Test  2-20,text,false,Status code should be 200,929,581,2,7,http://localhost:8081/api/post/auth/creator,952,0,0
1697729262205,14,Delete Post,400,,Load Test  2-20,text,false,Status code should be 200,800,597,2,7,http://localhost:8081/api/post/auth/manager?postId=,14,0,3
1697729261265,1008,Create Post,500,,Stress Test  1-99,text,false,Status code should be 200,929,581,3,7,http://localhost:8081/api/post/auth/creator,1008,0,0
1697729262275,11,Delete Post,400,,Stress Test  1-99,text,false,Status code should be 200,800,603,3,7,http://localhost:8081/api/post/auth/manager?postId=,11,0,3
1697729261976,534,Register Random User,409,,Stress Test  1-100,text,false,Status code should be 200,689,677,3,8,http://localhost:8081/api/users/,533,0,2
1697729261744,942,Login,200,,Stress Test  1-98,text,true,,28508,1158,3,8,http://localhost:8081/,296,0,0
1697729261744,296,Login-0,302,,Stress Test  1-98,,true,,412,718,3,8,http://localhost:8081/authenticate,296,0,0
1697729262040,646,Login-1,200,,Stress Test  1-98,text,true,,28096,440,3,8,http://localhost:8081/,646,0,0
1697729262159,626,Register Random User,409,,Endurance Test  3-10,text,false,Status code should be 200,689,677,1,8,http://localhost:8081/api/users/,626,0,1
1697729262296,549,Register Random User,409,,Stress Test  1-99,text,false,Status code should be 200,689,677,3,8,http://localhost:8081/api/users/,549,0,2
1697729262232,617,Register Random User,409,,Load Test  2-20,text,false,Status code should be 200,689,677,2,8,http://localhost:8081/api/users/,617,0,2
1697729261853,1079,Create Post,200,,Spike Test  4-10,text,true,,561,581,2,8,http://localhost:8081/api/post/auth/creator,1079,0,0
1697729262326,618,Register Random User,409,,Spike Test  4-9,text,false,Status code should be 200,689,677,2,8,http://localhost:8081/api/users/,618,0,2
1697729262049,1041,Login,200,,Load Test  2-19,text,true,,28508,1158,2,9,http://localhost:8081/,358,0,0
1697729262049,358,Login-0,302,,Load Test  2-19,,true,,412,718,2,9,http://localhost:8081/authenticate,358,0,0
1697729262408,682,Login-1,200,,Load Test  2-19,text,true,,28096,440,2,9,http://localhost:8081/,679,0,0
1697729262512,992,Login,200,,Stress Test  1-100,text,true,,28508,1158,4,9,http://localhost:8081/,325,0,0
1697729262512,325,Login-0,302,,Stress Test  1-100,,true,,412,718,4,9,http://localhost:8081/authenticate,325,0,0
1697729262838,666,Login-1,200,,Stress Test  1-100,text,true,,28096,440,4,9,http://localhost:8081/,662,0,0
1697729263052,489,Register Random User,409,,Stress Test  1-97,text,false,Status code should be 200,689,677,4,9,http://localhost:8081/api/users/,489,0,1
1697729262847,905,Login,200,,Stress Test  1-99,text,true,,28508,1166,4,10,http://localhost:8081/,308,0,0
1697729262847,308,Login-0,302,,Stress Test  1-99,,true,,412,726,4,10,http://localhost:8081/authenticate,308,0,0
1697729263156,596,Login-1,200,,Stress Test  1-99,text,true,,28096,440,4,10,http://localhost:8081/,596,0,0
1697729262851,901,Login,200,,Load Test  2-20,text,true,,28508,1182,3,10,http://localhost:8081/,310,0,0
1697729262851,310,Login-0,302,,Load Test  2-20,,true,,412,742,3,10,http://localhost:8081/authenticate,310,0,0
1697729263162,590,Login-1,200,,Load Test  2-20,text,true,,28096,440,3,10,http://localhost:8081/,590,0,0
1697729262787,965,Login,200,,Endurance Test  3-10,text,true,,28508,1154,1,10,http://localhost:8081/,326,0,0
1697729262787,326,Login-0,302,,Endurance Test  3-10,,true,,412,714,1,10,http://localhost:8081/authenticate,326,0,0
1697729263114,638,Login-1,200,,Endurance Test  3-10,text,true,,28096,440,1,10,http://localhost:8081/,638,0,0
1697729262946,943,Login,200,,Spike Test  4-9,text,true,,28508,1146,2,10,http://localhost:8081/,315,0,0
1697729262946,315,Login-0,302,,Spike Test  4-9,,true,,412,706,2,10,http://localhost:8081/authenticate,315,0,0
1697729263262,627,Login-1,200,,Spike Test  4-9,text,true,,28096,440,2,10,http://localhost:8081/,623,0,0
1697729262935,1105,Delete Post,200,,Spike Test  4-10,,true,,303,611,2,10,http://localhost:8081/api/post/auth/manager?postId=1446,1105,0,0
1697729263576,491,Register Random User,409,,Load Test  2-18,text,false,Status code should be 200,689,677,3,10,http://localhost:8081/api/users/,491,0,3
1697729262689,1431,Create Post,500,,Stress Test  1-98,text,false,Status code should be 200,929,581,4,10,http://localhost:8081/api/post/auth/creator,1431,0,0
1697729264122,11,Delete Post,400,,Stress Test  1-98,text,false,Status code should be 200,800,587,4,10,http://localhost:8081/api/post/auth/manager?postId=,11,0,3
1697729263092,1205,Create Post,500,,Load Test  2-19,text,false,Status code should be 200,929,581,3,10,http://localhost:8081/api/post/auth/creator,1205,0,0
1697729264299,12,Delete Post,400,,Load Test  2-19,text,false,Status code should be 200,800,599,3,10,http://localhost:8081/api/post/auth/manager?postId=,11,0,3
1697729263543,867,Login,200,,Stress Test  1-97,text,true,,28508,1174,4,11,http://localhost:8081/,300,0,0
1697729263543,300,Login-0,302,,Stress Test  1-97,,true,,412,734,4,11,http://localhost:8081/authenticate,300,0,0
1697729263844,566,Login-1,200,,Stress Test  1-97,text,true,,28096,440,4,11,http://localhost:8081/,563,0,0
1697729264045,460,Register Random User,409,,Spike Test  4-10,text,false,Status code should be 200,689,677,3,11,http://localhost:8081/api/users/,460,0,1
1697729264152,505,Register Random User,409,,Stress Test  1-98,text,false,Status code should be 200,689,677,4,11,http://localhost:8081/api/users/,505,0,2
1697729264314,471,Register Random User,409,,Spike Test  4-8,text,false,Status code should be 200,689,677,3,11,http://localhost:8081/api/users/,471,0,3
1697729264315,572,Register Random User,409,,Load Test  2-19,text,false,Status code should be 200,689,677,3,12,http://localhost:8081/api/users/,572,0,2
1697729264068,861,Login,200,,Load Test  2-18,text,true,,28508,1162,3,12,http://localhost:8081/,298,0,0
1697729264068,298,Login-0,302,,Load Test  2-18,,true,,412,722,3,12,http://localhost:8081/authenticate,298,0,0
1697729264366,563,Login-1,200,,Load Test  2-18,text,true,,28096,440,3,12,http://localhost:8081/,560,0,0
1697729263507,1626,Create Post,200,,Stress Test  1-100,text,true,,561,581,5,12,http://localhost:8081/api/post/auth/creator,1626,0,0
1697729263757,1496,Create Post,500,,Endurance Test  3-10,text,false,Status code should be 200,773,581,1,12,http://localhost:8081/api/post/auth/creator,1495,0,0
